2.97069e+07	-59	-3.01366
2.97158e+07	7	-3.02459
2.97328e+07	-12	-3.03746
2.97359e+07	14	-3.04589
2.97558e+07	54	-3.04022
2.97672e+07	41	-3.02392
2.97875e+07	17	-3.0031
2.98071e+07	-26	-2.98835
2.98186e+07	7	-2.97148
2.98277e+07	0	-2.95426
2.98559e+07	-19	-2.94134
2.98755e+07	0	-2.92798
2.98869e+07	40	-2.90444
2.99067e+07	36	-2.87192
2.99165e+07	9	-2.83722
2.99556e+07	20	-2.79771
2.99751e+07	-30	-2.76571
2.99898e+07	0	-2.73373
3.00061e+07	-47	-2.71326
3.00206e+07	0	-2.69258
3.00268e+07	20	-2.66681
3.00374e+07	53	-2.62803
3.00573e+07	-6	-2.59092
3.00656e+07	26	-2.54765
3.00776e+07	33	-2.49666
3.00861e+07	-13	-2.44935
3.01086e+07	-22	-2.40785
3.01313e+07	-2	-2.36717
3.01396e+07	-9	-2.32899
3.01567e+07	-47	-2.30256
3.01654e+07	0	-2.27614
3.01799e+07	53	-2.23682
3.01855e+07	33	-2.18976
3.02057e+07	8	-2.14125
3.02162e+07	1	-2.09304
3.02248e+07	-11	-2.04806
3.02365e+07	22	-1.9982
3.02566e+07	6	-1.94749
3.02648e+07	-14	-1.90083
3.02787e+07	26	-1.84839
3.02954e+07	-27	-1.80323
3.03062e+07	-9	-1.76083
3.03191e+07	17	-1.71478
3.03337e+07	-9	-1.67152
3.03367e+07	17	-1.62465
3.03564e+07	-23	-1.58403
3.03648e+07	-16	-1.54782
3.0382e+07	3	-1.51129
3.03848e+07	-2	-1.47569
3.04159e+07	17	-1.43636
3.04376e+07	0	-1.39754
3.0465e+07	8	-1.35729
3.04761e+07	-5	-1.31881
3.04987e+07	-10	-1.28329
3.05074e+07	-23	-1.25385
3.05163e+07	10	-1.22231
3.05366e+07	-10	-1.1936
3.05569e+07	-34	-1.17353
3.05652e+07	-7	-1.15533
3.05767e+07	-48	-1.14895
3.05885e+07	5	-1.14122
3.06052e+07	-3	-1.13411
3.06195e+07	50	-1.11467
3.06334e+07	37	-1.08637
3.06364e+07	10	-1.05598
3.06568e+07	-12	-1.02893
3.06675e+07	-32	-1.01003
3.06759e+07	-19	-0.99593
3.0687e+07	0	-0.981902
3.0707e+07	-1	-0.968186
3.07181e+07	-21	-0.95966
3.0735e+07	8	-0.949134
3.07551e+07	-12	-0.941537
3.0775e+07	17	-0.929728
3.07895e+07	-25	-0.924053
3.08062e+07	-37	-0.927305
3.08219e+07	16	-0.926355
3.08253e+07	23	-0.919588
3.08367e+07	-3	-0.913477
3.08568e+07	-30	-0.914598
3.08651e+07	-17	-0.919619
3.08765e+07	23	-0.918693
3.08911e+07	-3	-0.918296
3.09154e+07	-6	-0.919147
3.09329e+07	27	-0.913167
3.09356e+07	-12	-0.910024
3.09555e+07	7	-0.90502
3.09666e+07	47	-0.888437
3.09749e+07	-12	-0.87493
3.09866e+07	20	-0.856625
3.10056e+07	-22	-0.843882
3.10323e+07	18	-0.826821
3.1035e+07	31	-0.802369
3.10551e+07	15	-0.774598
3.108e+07	-4	-0.748224
3.10855e+07	42	-0.711999
3.11061e+07	25	-0.670296
3.11165e+07	4	-0.628369
3.1134e+07	11	-0.584526
3.11367e+07	18	-0.537111
3.11568e+07	45	-0.479627
3.11693e+07	-22	-0.428656
3.11861e+07	38	-0.369429
3.12062e+07	13	-0.30824
3.12202e+07	6	-0.246857
3.12342e+07	20	-0.181881
3.1237e+07	40	-0.108529
3.1257e+07	-24	-0.0426171
3.12649e+07	-11	0.0191726
3.12882e+07	8	0.0815521
3.13049e+07	4	0.143517
3.13194e+07	-9	0.20189
3.13332e+07	31	0.266496
3.1336e+07	64	0.345233
3.13563e+07	6	0.423621
3.13647e+07	13	0.503355
3.13755e+07	6	0.582679
3.13898e+07	20	0.664998
3.14067e+07	6	0.746811
3.14203e+07	26	0.832988
3.14345e+07	-14	0.913652
3.14374e+07	12	0.99525
3.14548e+07	24	1.08067
3.14745e+07	-29	1.15687
3.14773e+07	-2	1.23063
3.14874e+07	17	1.30661
